Company,complaints,untimely,untimely_rate
"EQUIFAX, INC.",3174023,99,3.1e-05
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",3073109,229,7.5e-05
Experian Information Solutions Inc.,2758490,75,2.7e-05
CAPITAL ONE FINANCIAL CORPORATION,107411,17,0.000158
JPMORGAN CHASE & CO.,91410,0,0.0
WELLS FARGO & COMPANY,82793,142,0.001715
"BANK OF AMERICA, NATIONAL ASSOCIATION",81738,2726,0.03335
"CITIBANK, N.A.",71055,7,9.9e-05
"Block, Inc.",59068,873,0.01478
Resurgent Capital Services L.P.,49505,1,2e-05
SYNCHRONY FINANCIAL,46951,54,0.00115
"CBC Companies, Inc.",41297,12,0.000291
LEXISNEXIS,38892,488,0.012548
"Portfolio Recovery Associates, LLC",38217,706,0.018473
ENCORE CAPITAL GROUP INC.,37709,7,0.000186
NAVY FEDERAL CREDIT UNION,36327,0,0.0
AMERICAN EXPRESS COMPANY,36038,95,0.002636
"Bread Financial Holdings, Inc.",33909,3,8.8e-05
"Early Warning Services, LLC",31863,10,0.000314
DISCOVER BANK,30876,0,0.0
CL Holdings LLC,28690,6,0.000209
"Paypal Holdings, Inc",26678,24,0.0009
U.S. BANCORP,26113,0,0.0
MOHELA,22145,6147,0.27758
TD BANK US HOLDING COMPANY,22051,0,0.0
TRUIST FINANCIAL CORPORATION,20633,247,0.011971
ALLY FINANCIAL INC.,19752,1,5.1e-05
Chime Financial Inc,19707,31,0.001573
"Nelnet, Inc.",19318,38,0.001967
"CCS Financial Services, Inc.",18634,4096,0.219813
BARCLAYS BANK DELAWARE,16973,0,0.0
PNC Bank N.A.,16937,0,0.0
GOLDMAN SACHS BANK USA,16178,29,0.001793
"I.C. System, Inc.",15336,14,0.000913
"Shellpoint Partners, LLC",13630,99,0.007263
"National Credit Systems,Inc.",13376,98,0.007327
TRANSWORLD SYSTEMS INC,13161,11,0.000836
"SANTANDER HOLDINGS USA, INC.",12883,9,0.000699
Mr. Cooper Group Inc.,12578,6,0.000477
"Fidelity National Information Services, Inc. (FNIS)",12534,1,8e-05
