Product,complaints,untimely,untimely_rate
Credit reporting or other personal consumer reports,7577943,8414,0.00111
"Credit reporting, credit repair services, or other personal consumer reports",1840249,4468,0.002428
Debt collection,690813,18163,0.026292
Checking or savings account,278263,2638,0.00948
Credit card,187840,513,0.002731
"Money transfer, virtual currency, or money service",150855,2353,0.015598
Mortgage,143445,2175,0.015163
Credit card or prepaid card,140890,2055,0.014586
Vehicle loan or lease,70356,1109,0.015763
Student loan,63055,8496,0.13474
"Payday loan, title loan, personal loan, or advance loan",24733,1010,0.040836
"Payday loan, title loan, or personal loan",18997,820,0.043165
Prepaid card,15087,818,0.054219
Debt or credit management,7163,616,0.085997
