decile,records,untimely,rate,lift,cumulative_untimely_pct
1,544297,23716,0.043571799954804,9.657538554676869,96.5753145742558
2,544297,603,0.0011078510445583,0.2455513471272622,99.03082624099036
3,544297,63,0.000115745631521,0.0256546183565796,99.28737223602232
4,544297,27,4.960527065186837e-05,0.0109948364385341,99.39732051960743
5,544297,35,6.430312862279233e-05,0.0142525657536553,99.53984607240298
6,544297,25,4.593080615913738e-05,0.0101804041097538,99.64165003868553
7,544297,25,4.593080615913738e-05,0.0101804041097538,99.74345400496804
8,544297,17,3.123294818821342e-05,0.0069226747946325,99.81268070204015
9,544297,8,1.4697857970923965e-05,0.0032577293151212,99.84525797125056
10,544301,38,6.981431230146555e-05,0.0154741005287599,100.0
