threshold,precision,recall,f1,accuracy,tp,fp,tn,fn,flagged,flag_rate,reviews_per_catch
0.3,0.0762928827444956,0.8472473507366245,0.139980783602007,0.9705376464422484,6556,79376,2647155,1182,85932,0.031427778320275,13.10738255033557
0.35,0.0818396935587193,0.8089945722408891,0.1486423915753481,0.9737739776152236,6260,70231,2656300,1478,76491,0.0279749358969435,12.219009584664535
0.4,0.0872702538851676,0.7627293874386146,0.156620271471599,0.9767532016784012,5902,61727,2664804,1836,67629,0.0247338502539435,11.4586580820061
0.45,0.0951816676831924,0.7058671491341432,0.1677441149824179,0.9801778830100476,5462,51923,2674608,2276,57385,0.0209873278744702,10.506224826071035
0.5,0.1103368176538908,0.6138537089687258,0.187052059541624,0.9848998032015138,4750,38300,2688231,2988,43050,0.0157446103510664,9.06315789473684
0.55,0.1439010479788978,0.5217110364435255,0.2255811354492624,0.9898627384503864,4037,24017,2702514,3701,28054,0.010260146313329,6.949219717612088
0.6,0.1762494125019583,0.4361592142672525,0.2510506936437683,0.9926353259317208,3375,15774,2710757,4363,19149,0.0070033343464011,5.673777777777778
0.65,0.2075208913649025,0.3851124321530111,0.2697076658521133,0.9940978740570148,2980,11380,2715151,4758,14360,0.0052518607349898,4.818791946308725
0.7,0.2491682070240296,0.3484104419746704,0.2905485504903545,0.9951848190503568,2696,8124,2718407,5042,10820,0.0039571819744143,4.013353115727003
0.75,0.3155397390272835,0.3093822693202377,0.3124306688417618,0.996146319180739,2394,5193,2721338,5344,7587,0.0027747818521147,3.169172932330827
0.8,0.3773366737328965,0.2530369604548979,0.3029318480699312,0.9967044208159476,1958,3231,2723300,5780,5189,0.001897764996787,2.650153217568948
0.85,0.4311668372569089,0.217756526234169,0.2893697406834964,0.9969732312365754,1685,2223,2724308,6053,3908,0.0014292668351211,2.319287833827893
0.9,0.5048584706379383,0.1544326699405531,0.2365165759524987,0.997178404904565,1195,1172,2725359,6543,2367,0.000865679272961,1.9807531380753136
