Product,count,share_pct
Credit reporting or other personal consumer reports,7577943,67.60172383016157
"Credit reporting, credit repair services, or other personal consumer reports",1840249,16.41659282429691
Debt collection,690813,6.162641978738215
Checking or savings account,278263,2.482343622557236
Credit card,187840,1.675693232880948
"Money transfer, virtual currency, or money service",150855,1.3457554442411381
Mortgage,143445,1.2796519154099637
Credit card or prepaid card,140890,1.2568591332016437
Vehicle loan or lease,70356,0.6276356105865203
Student loan,63055,0.5625044548515128
"Payday loan, title loan, personal loan, or advance loan",24733,0.22063948428899322
"Payday loan, title loan, or personal loan",18997,0.16946946520996256
Prepaid card,15087,0.13458892570525374
Debt or credit management,7163,0.06390007787013538
