Company,count,share_pct
"EQUIFAX, INC.",3174023,28.3149960717019
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",3073109,27.414757001733054
Experian Information Solutions Inc.,2758490,24.608086807760678
CAPITAL ONE FINANCIAL CORPORATION,107411,0.9581978590128594
JPMORGAN CHASE & CO.,91410,0.8154552726663514
WELLS FARGO & COMPANY,82793,0.7385842729445928
"BANK OF AMERICA, NATIONAL ASSOCIATION",81738,0.7291727718761868
"CITIBANK, N.A.",71055,0.6338712875977202
"Block, Inc.",59068,0.5269370095816217
Resurgent Capital Services L.P.,49505,0.44162688188762417
SYNCHRONY FINANCIAL,46951,0.4188430205333975
"CBC Companies, Inc.",41297,0.36840451149001546
LEXISNEXIS,38892,0.3469498573956869
"Portfolio Recovery Associates, LLC",38217,0.34092828088272564
ENCORE CAPITAL GROUP INC.,37709,0.33639648700334146
NAVY FEDERAL CREDIT UNION,36327,0.32406786664643417
AMERICAN EXPRESS COMPANY,36038,0.32148973981347745
"Bread Financial Holdings, Inc.",33909,0.302497241448893
"Early Warning Services, LLC",31863,0.28424517397405047
DISCOVER BANK,30876,0.27544029098398715
CL Holdings LLC,28690,0.255939303936086
"Paypal Holdings, Inc",26678,0.23799054550041487
U.S. BANCORP,26113,0.23295026293771398
MOHELA,22145,0.19755231389559513
TD BANK US HOLDING COMPANY,22051,0.1967137536108272
TRUIST FINANCIAL CORPORATION,20633,0.18406398250656195
ALLY FINANCIAL INC.,19752,0.17620471005038588
Chime Financial Inc,19707,0.17580327161618847
"Nelnet, Inc.",19318,0.17233305937390414
"CCS Financial Services, Inc.",18634,0.1662311951741034
BARCLAYS BANK DELAWARE,16973,0.1514136565251721
PNC Bank N.A.,16937,0.15109250577781416
GOLDMAN SACHS BANK USA,16178,0.14432157752101776
"I.C. System, Inc.",15336,0.13681021837447943
"Shellpoint Partners, LLC",13630,0.12159124129135072
"National Credit Systems,Inc.",13376,0.11932534435165865
TRANSWORLD SYSTEMS INC,13161,0.11740736072160432
"SANTANDER HOLDINGS USA, INC.",12883,0.11492736328367362
Mr. Cooper Group Inc.,12578,0.11220650278522445
"Fidelity National Information Services, Inc. (FNIS)",12534,0.11181398520512031
"Navient Solutions, LLC.",11808,0.105337445133402
"Affirm Holdings, Inc",11387,0.10158176556013285
"Kriya Capital, LLC",11098,0.0990036387271761
UNITED SERVICES AUTOMOBILE ASSOCIATION,10913,0.09735328071992007
CREDIT ACCEPTANCE CORPORATION,10705,0.09549774306851867
"CITIZENS FINANCIAL GROUP, INC.",10088,0.08999357609296743
"Maximus Federal Services, Inc.",9732,0.08681775203576121
OneMain Finance Corporation,9684,0.08638955103928396
"Westlake Services, LLC",9499,0.08473919303202791
Self Financial Inc.,9041,0.08065344185730755
"CAINE & WEINER COMPANY, INC.",8842,0.07887819189274564
Ocwen Financial Corporation,7790,0.06949345338661937
FIFTH THIRD FINANCIAL CORPORATION,7705,0.06873518078869092
"National Credit Adjusters, LLC",7480,0.06672798861770385
EdFinancial Services,7383,0.06586266577065608
"CLGF Holdco 1, LLC",7363,0.06568424868879057
"Spring Oaks Capital, LLC",6724,0.059983822923187255
CORELOGIC INC,6686,0.05964483046764277
"Exeter Finance, LLC.",6493,0.05792310562764052
"SELECT PORTFOLIO SERVICING, INC.",6358,0.05671879032504827
AES/PHEAA,6309,0.05628166847447775
"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",6269,0.05592483431074671
Freedom Mortgage Company,6211,0.05540742477333671
"General Motors Financial Company, Inc.",6130,0.05468483559178136
Santander Consumer USA Holdings Inc.,6019,0.05369462078742773
"Coinbase, Inc.",5972,0.053275340645043766
"ID Analytics, Inc.",5876,0.05241893865208928
"HW Holding, Inc",5597,0.049930020360065296
TOYOTA MOTOR CREDIT CORPORATION,5590,0.049867574381412365
Bridgecrest Acceptance Corporation,5524,0.049278798011256154
Radius Global Solutions LLC,5497,0.0490379349507377
HYUNDAI CAPITAL AMERICA,5436,0.048493762851047874
T.S. Holdings,5214,0.046513333242340624
"Southwest Credit Systems, L.P.",5197,0.04636167872275493
ERC,5076,0.04528225537746854
REGIONS FINANCIAL CORPORATION,4984,0.04446153680088716
Comerica,4956,0.044211752886275435
"HUNTINGTON NATIONAL BANK, THE",4872,0.04346240114244026
NCB Management Services Inc.,4851,0.043275063206481466
M&T BANK CORPORATION,4658,0.04155333836647921
"SOFI TECHNOLOGIES, INC.",4624,0.041250029327307834
"LoanCare, LLC",4577,0.04083074918492386
BMO BANK NATIONAL ASSOCIATION,4511,0.04024197281476765
PENTAGON FEDERAL CREDIT UNION,4507,0.04020628939839455
"SUNRISE CREDIT SERVICES, INC",4477,0.039938663775596274
Kikoff Inc.,4457,0.03976024669373075
"Convergent Resources, Inc.",4233,0.03776197537683695
"Amsher Collection Services, Inc.",4055,0.03617406334823384
"FAIR COLLECTIONS & OUTSOURCING, INC.",3998,0.035665574664917106
KEYCORP,3993,0.03562097039445073
Atlanticus Services Corporation,3932,0.035076798294760896
"ProCollect, Inc.",3862,0.03445233850823158
Synovus Bank,3827,0.03414010861496693
Netspend Corporation,3752,0.03347104455797124
Specialized Loan Servicing Holdings LLC,3751,0.03346212370387796
"Rocket Mortgage, LLC",3664,0.032686009397762956
ROBINHOOD MARKETS INC.,3652,0.032578959148643644
Global Lending Services LLC,3578,0.031918815945741225
"Aldous & Associates, PLLC",3565,0.03180284484252864
"W&A Intermediate Co., LLC",3552,0.03168687373931605
"UPGRADE, INC.",3516,0.03136572299195812
"Sequium Asset Solutions, LLC",3493,0.03116054334781277
"CAVALRY INVESTMENTS, LLC",3451,0.030785867475895182
NISSAN MOTOR ACCEPTANCE COMPANY LLC,3449,0.03076802576770863
"Credit Karma, LLC",3416,0.030473637582630525
TrueAccord Corp.,3361,0.02998299060750035
"PENNYMAC LOAN SERVICES, LLC.",3342,0.02981349437972811
Servicer under contract with Federal Student Aid,3315,0.029572631319209657
"ENOVA INTERNATIONAL, INC.",3308,0.029510185340556726
SLM CORPORATION,3266,0.02913550946863914
"CARRINGTON MORTGAGE SERVICES, LLC",3224,0.02876083359672155
"ACIMA CREDIT, LLC",3175,0.02832371174615103
World Acceptance Corporation,2960,0.02640572811609671
FISERV FINXACT CORE,2946,0.026280836158790847
"CarMax, Inc.",2937,0.026200548471951364
AMERICAN HONDA FINANCE CORP,2906,0.02592400199505981
HSBC NORTH AMERICA HOLDINGS INC.,2883,0.025718822350914463
Source Receivables Management LLC,2881,0.02570098064272791
Incomm Holdings Inc.,2877,0.025665297226354807
MoneyLion Inc.,2849,0.025415513311743083
"Harris & Harris, Ltd.",2828,0.025228175375784288
FC HoldCo LLC,2818,0.02513896683485153
"American Credit Acceptance, LLC",2629,0.023452925411222382
"NRA Group, LLC",2536,0.02262328598054772
"Security Credit Services, LLC",2535,0.022614365126454445
"Consumer Portfolio Services, Inc.",2504,0.022337818649562892
V and H Portfolio,2485,0.02216832242179065
"The CBE Group, Inc.",2479,0.022114797297230995
Selene Holdings LLC,2473,0.02206127217267134
"Eastern Account Systems of Connecticut, Inc.",2468,0.02201666790220496
Velocity Portfolio Group,2464,0.021980984485831856
"Credit Control, LLC",2415,0.021543862635261334
FIRST NATIONAL BANK OF OMAHA,2412,0.021517100072981507
"Upstart Holdings, Inc.",2401,0.021418970677955472
"Continental Finance Company, LLC",2395,0.021365445553395816
HCFS Healthcare Financial Services of TeamHealth,2393,0.021347603845209263
Mercedes Benz Financial Services,2382,0.02124947445018323
"Fay Servicing, LLC",2376,0.021195949325623575
Advanced Resolution Services Inc.,2375,0.021187028471530298
"Capio Partners, LLC",2359,0.021044294806037884
"ONLINE Information Services, Inc.",2355,0.02100861138966478
"Avant Holding Company, Inc.",2346,0.020928323702825297
"Ability Recovery Services, LLC",2324,0.020732064912773226
LCI Acquisition Inc.,2310,0.020607172955467365
Credit Corp Solutions Inc.,2276,0.020303863916295982
FORD MOTOR CREDIT CO.,2248,0.02005408000168426
CCF Intermediate Holdings LLC,2183,0.019474224485621323
CURO Intermediate Holdings,2156,0.019233361425102874
AFNI INC.,2149,0.019170915446449943
Rent Recovery Solutions,2097,0.018707031033599594
"BMW Financial Services NA, LLC",2071,0.01847508882717442
Consumer Adjustment Company Incorporated,2044,0.01823422576665597
Central Portfolio Control Inc.,2035,0.018153938079816488
"Aargon Agency, Inc.",2031,0.018118254663443384
"LAKEVIEW LOAN SERVICING, LLC",2030,0.018109333809350106
"MRS BPO, LLC",2001,0.017850629040645105
"The CMI Group, Inc.",1982,0.017681132812872865
"Collection Management Holdings, LLC",1964,0.017520557439193896
Phoenix Financial Services LLC,1945,0.017351061211421655
"Diversified Adjustment Service, Inc.",1892,0.016878255944478032
Conduent Incorporated,1876,0.01673552227898562
"LD Holdings Group, LLC",1870,0.016681997154425962
"John C. Heath, Attorney at Law, PLLC",1849,0.016494659218467166
"Medical Data Systems, Inc.",1825,0.016280558720228544
"FactorTrust, Inc.",1815,0.016191350179295787
"Lockhart, Morris & Montgomery Inc.",1810,0.016146745908829408
"Debt Recovery Solutions, LLC",1810,0.016146745908829408
"WESTERN UNION COMPANY, THE",1809,0.01613782505473613
Absolute Resolutions Corp.,1807,0.016119983346549578
LJ Ross Associates,1769,0.015780990891005094
"MARINER FINANCE, LLC",1754,0.015647178079605955
"Colony Brands, Inc.",1751,0.015620415517326127
BBVA FINANCIAL CORPORATION,1743,0.01554904868457992
NEW YORK COMMUNITY BANCORP INC,1729,0.015424156727274057
"Bull City Financial Solutions, Inc",1716,0.015308185624061471
"WAKEFIELD & ASSOCIATES, INC.",1710,0.015254660499501815
VW Credit,1691,0.015085164271729573
"United Shore Financial Services, LLC",1683,0.015013797438983366
AmeriCollect,1649,0.014710488399811985
MicroBilt / PRBC (formerly CL Verify),1628,0.01452315046385319
TransferWise Ltd,1627,0.014514229609759914
RUSHMORE LOAN MANAGEMENT SERVICES LLC,1613,0.014389337652454051
Possible Financial Inc,1598,0.014255524841054912
"The Bureaus, Inc.",1586,0.0141484745919356
"RentDebt Automated Collections, LLC",1582,0.014112791175562498
"Commonwealth Financial Systems, Inc.",1581,0.014103870321469222
OPORTUN FINANCIAL CORPORATION,1568,0.013987899218256635
"Conn's, Inc.",1544,0.013773798720018013
"Flagstar Bank, N.A.",1544,0.013773798720018013
Army and Air Force Exchange Service,1519,0.013550777367686116
"Cascade CISS Holdings, LLC",1498,0.01336343943172732
Penn Credit Corporation,1491,0.01330099345307439
FinCo Services Inc DBA Current,1488,0.013274230890794561
"Dovenmuehle Mortgage, Inc.",1485,0.013247468328514735
Lendmark Financial Services,1445,0.012890634164783697
"Opportunity Financial, LLC",1441,0.012854950748410594
"BSI Financial Holdings, Inc.",1430,0.01275682135338456
RoundPoint Mortgage Servicing LLC,1398,0.01247135402239973
MIDFIRST BANK,1390,0.012399987189653522
"AmeriHome Mortgage Company, LLC",1389,0.012391066335560245
Monterey Financial Services LLC,1374,0.012257253524161108
"Credit Systems International, Inc.",1371,0.01223049096188128
STATE EMPLOYEES CREDIT UNION,1365,0.012176965837321625
Klarna AB,1356,0.01209667815048214
"Professional Debt Mediation, Inc.",1354,0.01207883644229559
TekCollect Inc.,1341,0.011962865339083003
AMERISAVE MORTGAGE CORPORATION,1333,0.011891498506336796
"Open Dealer Exchange, LLC",1288,0.01149006007213938
Winklevoss Exchange LLC,1285,0.011463297509859551
BTH Management,1272,0.011347326406646964
FIRST PORTFOLIO SERVICING INC,1259,0.011231355303434377
"Halsted Financial Services, LLC.",1228,0.010954808826542824
"Caliber Home Loans, Inc.",1220,0.010883441993796617
"United Collection Bureau, Inc.",1204,0.010740708328304201
The Receivable Management Services LLC,1200,0.010705024911931099
"Paramount GR Holdings, LLC",1200,0.010705024911931099
MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC,1191,0.010624737225091614
"PLANET HOME LENDING, LLC",1184,0.010562291246438683
"Waypoint Resource Group, LLC",1175,0.0104820035595992
Zions Debt Holdings,1166,0.010401715872759718
CrossCountry Mortgage LLC,1147,0.010232219644987474
"American First Finance, Inc.",1131,0.01008948597949506
"Checkr, Inc",1130,0.010080565125401784
CNG FINANCIAL CORPORATION,1129,0.010071644271308508
World Omni Financial Corp.,1123,0.010018119146748853
ALLIANT CREDIT UNION,1101,0.009821860356696783
United PanAm Financial Corp.,1097,0.009786176940323679
SECURITY FINANCE CORP,1097,0.009786176940323679
Regional Management Corporation,1092,0.009741572669857299
BANK OF THE WEST,1072,0.00956315558799178
FIRST ADVANTAGE CORPORATION,1067,0.009518551317525402
Thaxton Investment Corporation,1050,0.00936689679793971
CONTRACT CALLERS INC,1041,0.009286609111100227
"Prosper Marketplace, Inc.",1038,0.0092598465488204
United Revenue Corporation,1035,0.009233083986540573
"EOS Holdings, Inc.",1033,0.00921524227835402
"AXOS FINANCIAL, INC.",1033,0.00921524227835402
First Credit Services Inc.,1027,0.009161717153794364
FirstPoint Collection Resources,1020,0.009099271175141433
"National Consumer Telecom & Utilities Exchange, Inc.",1013,0.009036825196488503
"Carvana Group, LLC",994,0.008867328968716259
SUNCOAST CREDIT UNION,993,0.008858408114622983
"Receivables Management Partners, LLC",992,0.008849487260529709
VYSTAR CREDIT UNION,982,0.008760278719596948
"SANTANDER BANK, NATIONAL ASSOCIATION",967,0.00862646590819781
R & B Corporation of Virginia,966,0.008617545054104534
"Foris DAX, Inc.",965,0.008608624200011258
"CMRE Financial Services, Inc.",961,0.008572940783638154
"Continental Services Group, Inc. d/b/a ConServe",955,0.008519415659078499
"FIRST CITIZENS BANCSHARES, INC.",921,0.008216106619907118
Alorica Inc.,919,0.008198264911720566
"Receivables Performance Management, LLC",906,0.008082293808507978
BANCO POPULAR DE PUERTO RICO,904,0.008064452100321428
"Franklin Collection Service, Inc.",903,0.008055531246228152
"WEBSTER BANK, NATIONAL ASSOCIATION",903,0.008055531246228152
Google Compare Credit Cards Inc.,901,0.0080376895380416
"Byrider Franchising, LLC",893,0.007966322705295393
Lending Club Corp,889,0.007930639288922289
"CHARLES SCHWAB CORPORATION, THE",886,0.00790387672664246
"Marlette Funding, LLC",884,0.007886035018455908
"Bounce AI, Inc.",880,0.007850351602082806
"Tower Loan of Mississippi, Inc.",877,0.007823589039802977
Sezzle Inc.,866,0.007725459644776942
FREEDOM FINANCIAL NETWORK,853,0.007609488541564356
